signum,revisionID,translitterering,normalisering,translation,Latitude,Longitude,Stil,Inscriber,Material,Period_begin,Period_end,edition
Upplands runinskrifter 830,54604793,[...-u(l)--n... sinar · a... ...r · s...],... sinnan ()...,... sin ...,59.70566,17.30269,,,,793,1066,0
Upplands runinskrifter 831,54604799,...- × ihu-... ... ...aisa + ste(n)a + iftir × luþin × sun × sin ×,"... ... [let r]æisa stæina æftiʀ Luðin, sun sinn.","... lät resa stenarna efter Luden, sin son.",59.72401,17.34662,,,,793,1066,0
Upplands runinskrifter 832,54662670,[...anes--...k + ista...],... ...,,59.75143,17.17273,,"Balle,Balle",,793,1066,0
Upplands runinskrifter 834,54666990,... uk ... at · f... ...,... ok ... at f[aður]() ...,... och ... efter ...,59.75126,17.17183,,"Balle,Balle",,793,1066,0
Upplands runinskrifter 837,54563175,... ...k × hulmk... ... ...(r)s + liþ × kuþ × hialb(i) ...,... [o]k Holmg[æiʀʀ]() ... [Ingva]rs() lið. Guð hialpi ...,och Holmger() ... (Ingva)rs här ... Gud hjälpe ...,59.74974,17.2562,,Äskil 2,,793,1066,0
Upplands runinskrifter 838,50566692,þufr · auk · þorfatr · þair · litu ' raisa ' stan · at · þorborn · faþur · sen · koþan ·· hir maa ' stanta ' stain ' ner ' brautu ' auk ' (k)ilauk ' riþ · kirua ' merki ' [at] (b)(o)a--- · sen :,"Þolfʀ()/Þøfʀ() ok Þorfastr þæiʀ letu ræisa stæin at Þorbiorn, faður sinn goðan. Her mun standa stæinn næʀ brautu ok Gillaug reð gærva mærki at boa[nda] sinn.","Tolkning: Tolv() och Torfast de läto resa stenen efter Torbjörn, sin gode fader. Här skall stånda stenen vid vägen. Och Gillög lät göra minnesmärket efter sin man.",59.75297,17.13675,pr3,Balle,,793,1066,0
Upplands runinskrifter 839,54685027,· hamunti · auk · auþker · litu · raisa · stin · þina · eftʀ · anunt · sun sin · auk · bru · giara,"Amundi ok Auðgærðr letu ræisa stæin þenna æftiʀ Anund, sun sinn, ok bro gæra.","Amunde och Ödgärd läto resa denna sten efter Anund, sin son, och göra bro.",0.0,0.0,, Torgöt Fotsarvi,,1000,1099,0
Upplands runinskrifter 841,54604715,[... ...t · raisa × s]-ain × ef-... ... [...-r sin],... [le]t ræisa s[t]æin æf[tiʀ ...] [faðu]r/[broðu]r sinn.,... lät resa stenen ... sin fader/broder.,59.75975,17.57327,,"Fot,Fot 2",,793,1066,0
Upplands runinskrifter 842,54604558,infri[þ] ' lit ' rita ' stain ' ftiʀ ' þorþ ' [broþur si]... hulm[kiʀ · lit × kira merki at hulms]...,"Ingifriðr/Ingriðr let retta stæin æftiʀ Þorð, broður si[nn]. Holmgæiʀʀ let gæra mærki at Holms[tæin].","Ingefrid lät uppresa stenen efter Tord, sin broder. Holmger lät göra minnesmärket efter Holmsten.",59.77701,17.51274,,Öpir 1,,793,1066,0
Upplands runinskrifter 843,54563275,[arþkaiʀ auk × þurstain × munkaiʀ × auk × ketilmutr litu × raisa × stain × nftiʀ × ulf × faþur sin],"Harðgæiʀʀ ok Þorstæinn, Mungæiʀʀ ok Kætilmundr letu ræisa stæin æftiʀ Ulf, faður sinn.","Hårdger och Torsten, Munger och Kättilmund läto resa stenen efter Ulv, sin fader.",59.75292,17.56206,,,,793,1066,0
Upplands runinskrifter 845,52290324,[kisl × auk × oskaiʀ raistu stain × þina&#124; &#124;aftiʀ biarn buruþur ×] sin · onon · eftiʀ · faþ[ur sin],"Gisl ok Asgæiʀʀ ræistu stæin þenna æftiʀ Biorn, broður sinn, annan æftiʀ faður sinn.","Gisl och Åsger reste denna sten efter Björn, sin broder, den andra efter sin fader.",59.76776,17.55253,,Arbjörn,,793,1066,0
Upplands runinskrifter 846,46214809,iafurfast ' ...-nfast ' uikuþ... ... þaʀ litu r... ...- -isaʀ -ftiʀ faþur sin ' asi ' kitilbiurn ' (k)(a)(i)r ' iftiʀ ' suir ' s-... ... ...fti... bua... ...,"Iofurfast, ...fast, Viguð[r] ... þaʀ letu ... ... [þ]essaʀ [æ]ftiʀ faður sinn, Asi, Kætilbiorn, Gæiʀʀ æftiʀ svær s[inn], ... [æ]fti[ʀ] boa[nda] ...","Jovurfast, ...-fast, Vigunn, de lät [rista] dessa [runor] efter sin fader, Åse, Kättilbjörn, Ger, efter sin svärfar, ... efter sin man.",59.0,45.0,,,,1000,1099,0
Upplands runinskrifter 847,46213139,' o[ski... -- -]islauh × litu ritu rita stin þino&#124; &#124;ot&#124; &#124;to suni sino ' atiarf ' (u)k s[l]uþa ' osmun[tr '] h[iu] ru[n]a(r)&#124; &#124;(r)itaʀ þim ' raþa skal  ia ' osmuntr ---aþi risti,Asgæi[ʀʀ() ok G]islaug letu '''''ritu''''' retta stæin þenna at tva() syni sina Adiarf ok Sloða. Asmundr hio runaʀ rettaʀ þæim raða skal. En Asmundr ... risti.,"Åsger och Gislög lät resa denna sten efter sina två söner, Ådjärv och Slode. Åsmund högg rätta runor för den som skall tyda. Åsmund... ristade.",59.0,45.0,,Åsmund Kåresson,,1000,1099,0
Upplands runinskrifter 848,43512730,rikuiþr · auk biurn · litu raisa stain þina eftR þostain,Ríkviðr ok Bjôrn létu reisa stein þenna eptir Þorstein.,Rikvid och Björn läto resa denna sten efter Torsten.,59.75951,17.48626,pr4,"Öpir 1  [ej Öpir, Åhlén 1997]",,793,1066,0
Upplands runinskrifter 849,46225000,[...kul auk hauk&#124; &#124;karþu staf en nasi auk aonutr&#124; &#124;raistu s... ... raisti stuþiþ...is han...],"[I]gull() ok Haukʀ gærðu staf, en Nasi/Næsi ok Anundr ræistu s[tæin] ... ræisti ... ...","Igul() och Hök gjorde staven, och Nase och Anund reste stenen .... reste...",59.76393,17.42525,,,,793,1066,0
Upplands runinskrifter 851,48791741,uani · auk · siriþ ... ...a · yftʀ · ernfriþi · auk · fryg...,Vani() ok Sigrið ... [þenn]a æftiʀ Ærnfriði ok Frøy...,Vane () och Sigrid ... denna efter Ärnfrid och Frö- ...,59.736507,17.461737,pr4,,,793,1066,0
Upplands runinskrifter 852,48791745,[...s : ok ...],[... ok ...],,0.0,0.0,,,,793,1066,0
Upplands runinskrifter 853,51184427,...-friþ : lit : re... ...,...friðr let ræ[isa] ...,...-rid lät resa...,59.76315,17.42625,,,,0,1500,0
Upplands runinskrifter 854,48791747,§P · h(u)lmfriþ ' lit ' [k]-(a)ra ' baþi · bro · ak · rita · stain : eftiʀ · bota ' sin ' iorl ' ak ' suni ' sina ' sehkurþ · ak · sihu-... ... ...har · merkis'kiarþ ' uani : ak ' harþtstain : ak · þorbiorn ' ak&#124; ' &#124;kunuiþr §Q · h(u)lmfriþ ' lit ' [k]-(a)ra ' baþi · bro · ak · rita · stain : eftiʀ · bota ' sin ' iorl ' ak ' suni ' sina ' sehkurþ · ak · sihu-... ... ...har · merkis'kiarþ ' uani : ak ' harþtstain : ak · þorbiorn ' ak ' unuiþr,§P Holmfriðr let gæra baði bro ok retta stæin æftiʀ bonda sinn Iarl ok syni sina Sigurð ok Sig... ... ... mærkisgærð Vani() ok Harðstæinn ok Þorbiorn ok Gunnviðr. §Q Holmfrið let gæra baði bro ok retta stæin æftiʀ bonda sinn Iarl ok syni sina Sigurð ok Sig... ... ... mærkisgærð Vani() ok Harðstæinn ok Þorbiorn ok Unnviðr().,Holmfrid lät både göra bron och uppresa stenen efter sin man Jarl och sina söner Sigurd och Sig- . . . utförandet av minnesmärket Vane() och Hårdsten och Torbjörn och Gunnvid.,59.763463,17.422494,,,,793,1066,0
Upplands runinskrifter 855,18452126,· inki-... [a]uk : iuker [:] þau : litu : raisa · stain : þina : a[t] · ais[t ·] sun · sin : ernfastr · auk · þaiʀ · (b)ryþr · raist[u] · at · bru... ...,"Ingi... ok Iogærðr þau letu ræisa stæin þenna at Æist, sun sinn, Ærnfastr ok þæiʀ brøðr ræistu at bro[ður sinn].","Inge-... och Jogard de läto resa denna sten efter Est, sin son. Ärnfast och bröderna reste (den) efter sin broder.",0.0,0.0,,,,0,1500,0
Upplands runinskrifter 856,54414095,huka(l)-(r) ' ---r- ...[in þin- at] ...u- [a]uk b(r)(u) k-rua,Hugal[d]r ... [stæ]in þenn[a] at ... ok bro g[æ]rva.,... denna sten efter . . . och göra bron.,59.7428,17.406036,pr3,Åsmund,,793,1066,0
Upplands runinskrifter 859,54161323,fastbiurn ' uk þurun ' litu rita ... bru kirua&#124; &#124;abtiʀ ' inkifa-... ...(u)anta sin ' kuþ hialbi hont ' osmunrt risti runoʀ,"Fastbiorn ok Þorunn letu retta ... bro gærva æftiʀ Ingifa[st, b]oanda sinn. Guð hialpi and. Asmundr risti runaʀ.","Fastbjörn och Torunn lät uppresa (stenen och) göra bron efter Inge(fast), sin man. Gud hjälpe anden. Åsmund ristade runorna.",59.78115,17.41794,pr3,Åsmund Kåreson,,793,1066,0
Upplands runinskrifter 860,42669440,fa[s]tbiurn ' uk þuruþr ' litu rita stin þino ' [abtiR inkifast buanta sin] ' [k](u)[i](þ) hia[l]bi hons ant uk,"Fastbiorn ok Þoruðr letu retta stæin þenna æftiR Ingifast, boanda sinn. Guð hialpi hans and ok Guðs moðiR.","Fastbjörn och Torunn läto uppresa denna sten efter Ingefast, sin man. Gud och Guds moder hjälpe hans ande.",59.7616,17.42917,pr3,Åsmund,,793,1066,0
Upplands runinskrifter 861,52288033,sihikþurn ' ... [risa · stin] ' uk ' bru ' kera : at : aterf : sun : uk ' a(t) ' mai : tutor : sin : eþorn : uk : suen : uk ' (u)ikþu-... ... ' sikb--... ...(ʀ) ' isi,"Sigþorn ... ræisa stæin ok bro gærva at Adiarf, sun, ok at Møy, dottur sina, Æiþorn ok Svæinn ok Vigþo[rn] ... Sig... ... '''''isi'''''","Sigtorn . . . resa sten och göra bro efter Adjärv, [sin] son, och efter Mö, sin dotter, Etorn och Sven och Vigtorn ...",59.74869,17.45138,,Öpir 1,,793,1066,0
Upplands runinskrifter 862,49351093,askeiʀ + auk + kiarþar × lata ' reis- ' þinsa ' (s)-(e)-(n) ' -(f)-iʀ ' bo(r)(o)þur ' sin · forsihl ' han uas ' arfi ' kuþbiona- ...sti ' risi,Asgæiʀʀ ok Gærðarr lata ræis[a] þennsa s[t]æ[i]n [æ]f[t]iʀ broður sinn Forseal. Hann vas arfi Guðbiorna[ʀ]. [Vi]seti risti.,Åsger och Gärdar låta resa denna sten efter sin broder Forseal. Han var Gudbjörns arvinge. Visäte ristade.,59.76807,17.39428,pr4,Visäte,,793,1066,0
Upplands runinskrifter 863,48791753,[... ...a + sten + eftʀ + uigul(f) + --...],... ... stæin æftiʀ Vigulf ...,... stenen efter Vigulv ...,0.0,0.0,,,,793,1066,0
Upplands runinskrifter 864,48791754,[: olauf · lit · raisa · stain þino · ef(t)iʀ · suartaufþa · faþur · sin · unuk · eftiʀ · þorþ · buruþur · sin],"Olof let ræisa stæin þenna æftiʀ Svarthaufða, faður sinn, ok æftiʀ Þorð, broður sinn.","Olov lät resa denna sten efter Svarthövde, sin fader, och efter Tord, sin broder.",59.7417,17.46082,,Arbjörn,runsten,1000,1066,0
Upplands runinskrifter 865,48791757,...(u)lfas/(u)lfas · au[k ue]þralti · rai... ... þin · iftiʀ · sbialbuþa · faþur · sin ·,"[Ig]ulfastr()/Ulfhôss() ok Veðraldi ræi[stu] ... þenna æftiʀ Spiallbuða, faður sinn.","Igulfast() och Väderaide reste denna [sten] efter Spjallbode, sin fader.",59.74435,17.45641,pr2,Arbjörn,,793,1066,0
Upplands runinskrifter 866,54312864,krukr ' lit [ri]t[a] stin þino ' aftiʀ ' kara f(a)... ... ... [hi]albi hons&#124; &#124;salu&#124; &#124;uk&#124; &#124;kuþs muþiʀ,"Krokʀ let retta stæin þenna æftiʀ Kara, fa[ður sinn. Guð] hialpi hans salu ok Guðs moðiʀ.","Krok lät resa denna sten efter Kåre, sin fader. Gud och Guds moder hjälpe hans själ.",59.78085,17.34879,,Åsmund Kåresson,,793,1066,0
Upplands runinskrifter 867,54529787,+ þialfi + kiarþi + bro + at bulu + totuʀ sina + ali + ok + ola[ifr + l]itu hakua + at + þialfa + faþur sin + ika + at + uer sin + kuþ + liti + sal þaira,"Þialfi gærði bro at Bollu, dottur sina. Ali/Alli ok Olæifʀ letu haggva at Þialfa, faður sinn, Inga at ver sinn. Guð letti sal þæiʀa.","Tjälve gjorde bron efter Bolla sin dotter. Ale (eller Alle) och Olev lät hugga efter Tjälve sin fader, Inga efter sin man. Gud give lättnad åt deras själar.",0.0,0.0,,"Likbjörn,Likbjörn",,1000,1099,0
Upplands runinskrifter 868,54524853,ofahr · auk · biarn · litu · -... ... ...ori,Ofæigʀ ok Biorn letu ... ... ...,Ofeg och Björn läto...,59.75973,17.38972,,,,793,1066,0
Upplands runinskrifter 870,55354957,... ...k : onek[ʀ :] (þ)ai[ʀ] (l)itu : marka : stain : þ[insa : at rok br]oþu[r :] (s)[en] ... ...(þ)biarn : hiu,"... [o]k Ohnæigʀ() þæiʀ letu marka stæin þennsa at Hrok, broður sinn ... [Au]ðbiorn()/[Vi]ðbiorn() hio.","... och '''onekʀ''' de läto rista denna sten efter Rok, sin broder ... Ödbjörn() högg.",59.76758,17.38865,,Ödbjörn  eller Vidbjörn,,793,1066,0
Upplands runinskrifter 871,44947271,binrn ' auþulfr ' (k)unor ' hulmtis ' ---u ri-o stin þino ' iftiʀ ' ulf ' kinlauhaʀ buanta ' in osmuntr hiu,"Biorn, Auðulfʀ, Gunnarr, Holmdis [let]u re[tt]a stæin þenna æftiʀ Ulf, Ginnlaugaʀ boanda. En Asmundr hio.","Björn, Ödulv, Gunnar, Holmdis lät resa denna sten efter Ulv, Ginnlögs man. Och Åsmund högg.",59.326667,18.103036,,Åsmund Kåresson,,1000,1099,0
Upplands runinskrifter 872,54563220,... ...a · st... ...,... [ræis]a st[æin] ...,...a st...,59.75263,17.39286,,,,793,1066,0
Upplands runinskrifter 874,55193530,× iarl × auk × ti…ẹ-…- × stain × at × [k]aiʀfast × faþur + sin ×,"Iarl ok ... ... stæin at Gæiʀfast, faður sinn.","Jarl och ... stenen efter Gerfast, sin fader.",59.0,48.0,,"Fot,Fot 2",Runsten,1035,1065,0
Upplands runinskrifter 875,47126419,' þurui ' auk ' inkikirþ ' auk ' þialfi ' þaun litu rita stin þino ' aftiʀ kalf ' buanta þuruiaʀ ' kuþ hialbi hons at uk&#124; &#124;kuþs muþiʀ,"Þyrvi ok Ingigærð ok Þialfi þaun letu retta stæin þenna æftiʀ Kalf, boanda Þyrviaʀ. Guð hialpi hans and ok Guðs moðiʀ.","Tyrvi och Ingegärd och Tjälve de lät uppresa denna sten efter Kalv, Tyrvis man. Gud och Guds moder hjälpe hans ande.",0.0,0.0,,Åsmund Kåresson,,1000,1099,0
Upplands runinskrifter 876,47126171,ulfr ' auk hulmnfastr × auk × ulfkair × auk × kunrir × raistu × staina × þisa × at sutlak × faþur sin ',"Ulfʀ ok Holmfastr ok Ulfgæiʀʀ ok Gunnriðr() ræistu stæina þessa at '''''sutlak''''', faður sinn.","Ulv och Holmfast och Ulvger och Gunn(f)rid reste dessa stenar efter '''sutlak''', sin far.",0.0,0.0,,,,1000,1099,0
Upplands runinskrifter 878,54562712,[ioþkirþ × l]it × raisa × st[ain × iftr × olaf × bunta × sin × auk × fastlauk × auk × þorun × iftiʀ × faþur × sin ×],"Þorgærð() let ræisa stæin æftiʀ Olaf, bonda sinn, ok Fastlaug ok Þorunn æftiʀ faður sinn.","Torgärd () lät resa stenen efter Olov, sin man, och Fastlög och Torunn efter sin fader.",59.81547,17.35574,,,,793,1066,0
Upplands runinskrifter 679,47400712,...þ... (l)itu · raisa · stain · þino · eftiR · iþin · faþur · sin ·,"... létu reisa stein þenna eptir Heðin, fôður sinn.","...läto resa denna sten efter Heden, sin fader.",59.70473,17.62407,pr2,,,793,1066,0
Upplands runinskrifter 880,50581337,§A ...bl... ... ...a · sin · §B ...sl... ... ifti- ...-----... ...aþ · ybir rista · runa,§A ... ... [bond]a() sinn. §B ... ... æfti[ʀ] ... [b]að Øpiʀ rista runaʀ.,sin man(). Efter...bad Öpir rista runorna,59.82977,17.31671,,Öpir 1,,793,1066,0
Upplands runinskrifter 881,54345056,...r × kerþi × mirki × eftiʀ × osbak × s... ...,"... gærði mærki æftiʀ Ospak, s[un] ...","... gjorde minnesmärket efter Ospak, [sin son] ...",59.82971,17.31668,,,,793,1066,0
Upplands runinskrifter 883,54470818,...suar...,,,59.83056,17.31676,,,,793,1066,0
Upplands runinskrifter 884,52290577,§A hulmkaiʀ ' auk sikriþr ----fatsr ' þah l... ... ...o ' aftiʀ uih ' faur hulmkiʀs §B osmuntr ' s--- ... ...ʀ markaþu þisaʀ runo §C ... þaʀ u... ...,"§A Holmgæiʀʀ ok Sigriðr ...fastr, þau l[etu] ... [þenn]a æftiʀ Vig, faður Holmgæiʀs. §B Asmundr ... ... ... markaðu þessaʀ runaʀ. §C ... þaʀ v[aʀu] ...","Holmger och Sigrid . . . -fast, de [läto] . . . [denna sten] efter Vig, Holmgers fader. Asmund . . . märkte dessa runor.",59.83714,17.31067,,Åsmund Kåresson,,793,1066,0
Upplands runinskrifter 885,43933095,uikʀ ' auk sihstain ' auk&#124; &#124;karl ' þaiʀ l[itu '] stain ' rita ' at sihat ' faþur sin ' iu,"Vigʀ ok Sigstæinn ok Karl þæiʀ letu stæin retta at Sighvat, faður sinn '''''iu'''''.","Vig och Sigsten och Karl de läto uppresa stenen efter Sigvat, sin fader...",59.83665,17.30866,pr4,Åsmund,,793,1066,0
Upplands runinskrifter 886,54526953,§A ... ...ina × fitiʀ ... §B ...ur × ...a × k...,§A ... [þ]enna æftiʀ ... §B ... ... ...,... denna [sten] efter ...,59.83715,17.30546,,,,793,1066,0
Upplands runinskrifter 887,54046327,× iokeʀ × auk × fastkeʀ × auk × au(r)(i)(k)r × litu · rita · sten × yftiʀ × borkeʀ × faþur sin frehn selfr · hiok × aurikr × yfti : sin · faþur · runi · þisa · roþi ' sa ' kuni,"Iogæiʀʀ ok Fastgæiʀʀ ok Aurikʀ/Øyrikʀ letu retta stæin æftiʀ Borggæiʀ, faður sinn frægan. Sialfʀ hiogg Aurikʀ/Øyrikʀ æftiʀ sinn faður runi þessa. ʀaði sa kunni.","Joger och Fastger och Örik  läto uppresa stenen efter Bor(g)ger, sin  frejdade fader. Själv högg Örik efter sin fader dessa runor. Tyde den som kan.",59.81663,17.34063,pr4,Örik,,793,1066,0
Upplands runinskrifter 889,53393404,§P aosu[l]f(ʀ) ' uk&#124; &#124;kair × arfaʀ × fa(s)[t---fs ' stin ritu þiʀ saotr ' nau---]u furiʀ ' aot ' -anþursuki...noaʀ §Q aosu[l]f(ʀ) ' uk&#124; &#124;kair × arfaʀ × fa(s)[t---fs ' stin ritu þiʀ saotr ' nau---]u furiʀ ' aot ' anþurs uk&#124; &#124;ki[ʀ]...noaʀ,"§P Asulfʀ ok Gæiʀʀ, arfaʀ Fast... stæin rettu. Þæiʀ '''''saotr''''' '''''nau---u''''' fyriʀ and ... §Q Asulfʀ ok Gæiʀʀ, arfaʀ Fast[ul]fs stæin rettu þæiʀ. Standr '''''nau---u''''' fyriʀ and Arnþors ok Gæiʀ[biar]naʀ().","Ásulfr och Geirr, Fastulfrs arvingar, de reste denna sten. Står ... för Arnþórs och Geirbjôrns ande""",0.0,0.0,,,,1000,1099,0
Upplands runinskrifter 890,52317256,---i ' auk fas(t)aþr ' auk þuru(l)... ... (f)aþur sin : auk&#124; &#124;kuþui (a)t lu--- su--an --fu(r)u i ukrikis,"... ok Fastaðr ok Þorul[fʀ] ... faður sinn, ok Guðvi() at() ... '''''su--an''''' '''''--furu''''' '''''i''''' '''''ukrikis'''''",".. . och Fastad och Torulv . . . sin fader, och Gudvi efter ...",59.87491,17.28811,,"Åsmund Kåresson,Åsmund liknar ristarens andra verk",,793,1066,0
Upplands runinskrifter 891,50581372,þi... ...-tu · raisa · merki · þe... ... · faþur sin ·,... [le]tu ræisa mærki þe[ssa] ... faður sinn.,... lät resa detta minnesmärke (efter) ... sin fader,59.78765,17.59443,,Arbjörn ,,793,1066,0
Upplands runinskrifter 892,54379804,[...f × faþur × ...],... faður ...,... fader ...,59.78765,17.59443,,,,793,1066,0
Upplands runinskrifter 462,47832496,§A [tierfr · uk kunar · a](u)k ' kulhu ['] litu ' risa ' stain · uk · bru ' eftiʀ ' alfntan × faþur sin §B [hu](l)mfriþ ' at ' bonta ' uk ' ybiʀ ' ris[ti run],"§A Diarfʀ ok Gunnarr ok Gulløy letu ræisa stæin ok bro æftiʀ Halfdan, faður sinn, §B Holmfriðr at bonda. Ok Øpiʀ risti runaʀ.","Djärv och Gunnar och Gullö lät resa stenen och bron efter Halvdan, sin fader, Holmfrid efter sin man. Och Öpir ristade runorna.",59.705,17.7384,pr4,Öpir,,793,1066,0
Upplands runinskrifter 474,46009047,halftan : let : reisa : stein : þen(s)a : eftir : iukeir : broþur : sin : nuk : kufriþ : eftiʀ : sun : sin : (k)uþ : hialbi : at : hans,"Halfdan let ræisa  stæin þennsa æftir IogæiR, broður sinn, ok Guðfrið æftir sun sinn. Guð hialpi and hans.","Halvdan lät resa denna sten efter Joger, sin broder, och Gudfrid efter sin son. Gud hjälpte hans ande.",59.70416,17.748984,,"Torbjörn,Torbjörn 2",,793,1066,0
Upplands runinskrifter 676,48109735,bartr auk byriʀ auk kulua þair letu raisa stain þeno eftir osur buruþr sin þaisi uaʀu uikulfs arfaʀ,"Biartr ok Bysiʀ ok Kylfa  þæiʀ letu ræisa stæin þenna æftiʀ  Assur, broður sinn. þæisi vaʀu Vikulfs arfaʀ.","Bjärt och Bysir och Kylfa de lät resa denna sten efter Assur, sin bror. Dessa var Vikulvs arvingar.",59.669624,17.545445,,,,793,1066,0
Upplands runinskrifter 879,53963602,inkiualtr uk suin litu rista stin þina · eftʀ hakun faþur sin,"Ingivaldr ok Svæinn letu rista stæin þenna æftiʀ Hakon, faður sinn.","Ingevald och Sven lät rista denna sten efter Håkon, sin far.",59.788561,17.428135,,,,793,1066,0
Upplands runinskrifter 893,42917267,' uitr ' uk × anuntr · uk ' ikikiarþ ' litu raisa ' stin ' at ' uik-iarn ' faþur ' sin ' ubiʀ ' risti,"Øyndr ok Anundr ok Ingigærð letu ræisa stæin at Vig[b]iarn, faður sinn. Øpiʀ risti.","Öind och Anund och Ingegärd läto resa stenen efter Vigbjörn, sin fader. Öpir ristade.",59.7931,17.5644,"pr3,pr4",Öpir 1,,793,1066,0
Upplands runinskrifter 894,50581174,abiarn ' uk ' u(l)biarn ' uk ' sak(s)(i) (l)i-u ' kera ' merki ' iftiʀ ' anunt ' --þur sin,"Abiorn ok Holmbiorn() ok Saxi le[t]u gæra mærki æftiʀ Anund, [fa]ður sinn.","Åbjörn och Holmbjörn () och Saxe läto göra minnesmärket efter Anund, sin fader.",59.81066,17.47708,,,,793,1066,0
Upplands runinskrifter 897,52297109,sihuiþr sun · kilauhaʀ ' raisti ' runaʀ ' iftiʀ ' rahnilfi ' sueru sina,"Sigviðr, sunn Gillaugaʀ, ræisti runaʀ æftiʀ ʀagnælfi, sværu sina.","Sigvid, Gillögs son reste runorna efter Ragnälv, sin svärmor",59.83372,17.6017,pr4,Sigvid,Runhäll,1000,1066,0
Upplands runinskrifter 898,50583244,ali ' uk ' iufurfast · litu ' gera ' merki ' iftiʀ iarl faþur sin ' uk ' at ' kisl ' uk ' at ' ikimunt han ' uaʀ ' trebin ' hustr ' sun ' iarls ybiʀ risti,"Ali/Alli ok Iofurfast letu gæra mærki æftiʀ Iarl, faður sinn, ok at Gisl ok at Ingimund. Hann vaʀ drepinn austr, sunn Iarls. Øpiʀ risti.","Ale och Jovurfast läto göra minnesmärket efter Jarl sin fader, och efter Gisl och efter Ingemund. Han blev dräpt österut, Jarls son. Öpir ristade.",59.8343,17.6013,pr4,"Öpir,Öpir 1",,793,1066,0
Upplands runinskrifter 899,50761595,þorkisl × auk × kisl × litu × raisa × stain × iftiʀ × suain fa-... × sin,"Þorgisl ok Gisl letu ræisa stæin æftiʀ Svæin, fa[ður] sinn.","Torgisl och Gisl läto resa stenen efter Sven, sin fader.",59.0,47.0,,"Fot,Fot 2",,1000,1099,0
Upplands runinskrifter 900,52283658,[...--hu...l...s...k- · hultr--...],... ...,,59.84859,17.52322,,,,793,1066,0
Upplands runinskrifter 902,54165509,iþnousi--uʀ--okiaʀisi------si ' ----f-þiikso,... ...,ingen känd översättning finns,59.0,50.0,,okänt,,1000,1099,0
Upplands runinskrifter 903,53380247,sibiurn ' auk sihtarf ' ritu stin þino ' abtiʀ ' aisti[n] ' auk abtiʀ ' sitiarf ' bruþr sina suniʀ hukals ritu sti þino ',"Sigbiorn/Sæbiorn ok Sigdiarfʀ rettu stæin þenna æftiʀ Øystæin/Æistæin ok æftiʀ Sigdiarf/Sædiarf, brøðr sina. Syniʀ Hugals/Hugalds rettu stæin þenna.","""Sigbjörn och Sigdjärv reste denna sten efter Östen, och efter Sigdjärv, sina bröder. Hugals söner reste denna sten.",59.0,50.0,,Åsmund Kåresson,,1000,1099,0
Upplands runinskrifter 904,50579135,+ iarl + uk&#124; &#124;karl + uk ihulbiurn litu rita stino þisa + uk&#124; &#124;kirua bru þisa + abtiʀ + iufur + faþur sin,"Iarl ok Karl ok Igulbiorn letu retta stæina þessa ok gærva bro þessa æftiʀ Iofur, faður sinn.","Jarl och Karl och Igulbjörn läto resa dessa stenar och göra denna bro efter Jovur, sin fader",59.8445,17.51946,,Åsmund Kåresson ,,1020,1050,0
Upplands runinskrifter 906,52283753,[tiþfr]iþ · l[it · rita · stain · iftiʀ · hulmkiʀ · s... ...n · u(k)&#124; &#124;k-rl · uk · munkir · at · broþur · sin ·],"Tiðfriðr let retta stæin æftiʀ Holmgæiʀ, s[un si]nn, ok K[a]rl ok Mungærðr()/Mungæiʀʀ() at broður sinn.","Tidfrid lät resa stenen efter Holmger, sin son, och Karl och Mungärd () efter sin broder.",59.84708,17.44206,,Öpir 1,,793,1066,0
Upplands runinskrifter 907,50581346,fastbiarn ' uk ' iarl litu ' rita stain ' at ' þorstin ' faþur sin ' rinkia,"Fastbiorn ok Iarl letu retta stæin at Þorstæin, faður sinn, ʀingia.","Fastbjörn och Jarl läto resa stenen efter Torsten ringe (), sin fader",59.86428,17.4008,,Öpir eller i Öpirs stil,,793,1066,0
Upplands runinskrifter 908,52283995,þoriʀ × lit hakua stain at · binu fiþur sin × ketilu[i × at × b]onta sin ×,"Þoriʀ let haggva stæin at Binu(), faður sinn, Kætilvi at bonda sinn.","Tore lät hugga stenen efter binu, sin fader, Kättilvi efter sin man.",59.88501,17.37616,,,,793,1066,0
Upplands runinskrifter 909,54279381,[ikulfastr : lit iʀasa sta]in : aft hulbi(o)r[:n ouk þaiʀ a · libi · kuþ kiʀi miskun],Igulfastr let ræisa stæin aft Holmbiorn ok þæiʀ '''''a''''' '''''libi''''' Guð gæri miskunn.,"Igulfast lät resa stenen efter Holm björn, och de . . . Gud göre miskund.",59.86484,17.43078,,Grim skald,,793,1066,0
Upplands runinskrifter 910,50581371,... ...un ' li[t]u ' raisa · sten eftiʀ · f[aþ]u[r sin ·] uk · [osi eft]iʀ [· inki]fast [irþbir ...ir... niþiʀib ...uk],... ... letu ræisa stæin æftiʀ faður sinn ok '''''osi''''' æftiʀ Ingifast '''''irþbir''''' ... '''''niþiʀib''''' ...,... lät resa stenen efter sin fader och '''osi''' efter Ingefast ...,59.84699,17.43978,,,,793,1066,0
